Date,Day_Wk,nb_crimes,nb_aggravated,nb_simple,nb_vandalism,nb_robbery,nb_larceny,nb_fraud,nb_selected,TEMP,TMAX_C,TMIN_C,DEWP,VISIB,Wind,PRCP,y2012,y2013,y2014,y2015,y2016,y2017,year,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,Weekend,DEWP_lag,WDSP_lag,PRCP_lag,TEMP_lag,Season,Summer,Fall,Winter,Spring,heat.index,DayMonth,DayMonth_3,DayMonth1,DayMonth2,DayMonth3,DayMonth1_15_30,LastDayMonth,FirstDayMonth,MidDayMonth,SNOW,Events,Holidays,Snow,Rain,WindxRain,WindxHeatIndex
07/08/12,Sunday,177,8,19,13,7,31,3,42,26.44444444,31.72222222,21.72222222,15.94444444,10,8.5,0,1,0,0,0,0,0,2012,0,0,0,1,0,0,0,1,NA,NA,NA,NA,Summer,1,0,0,0,27,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,229.5
07/09/12,Monday,285,6,17,14,7,48,11,37,24.33333333,31.72222222,20,9.666666667,10,7.9,0,1,0,0,0,0,0,2012,0,1,0,0,0,0,0,0,15.94444444,8.5,0,26.44444444,Summer,1,0,0,0,24,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,189.6
07/10/12,Tuesday,263,11,20,15,3,43,10,49,22.72222222,28.88888889,18.27777778,9.666666667,10,5.5,0,1,0,0,0,0,0,2012,0,0,0,0,0,1,0,0,9.666666667,7.9,0,24.33333333,Summer,1,0,0,0,22,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,121
07/11/12,Wednesday,246,8,15,17,2,35,4,43,23.16666667,28.27777778,18.27777778,14.5,10,6.7,0,1,0,0,0,0,0,2012,0,0,0,0,0,0,1,0,9.666666667,5.5,0,22.72222222,Summer,1,0,0,0,23,11,2,0,1,0,0,0,0,0,0,0,0,0,0,0,154.1
07/12/12,Thursday,251,7,12,22,3,49,9,43,24.5,30,18.88888889,15.61111111,10,8.6,0,1,0,0,0,0,0,2012,0,0,0,0,1,0,0,0,14.5,6.7,0,23.16666667,Summer,1,0,0,0,25,12,2,0,1,0,0,0,0,0,0,0,0,0,0,0,215
07/13/12,Friday,264,11,19,13,8,35,10,43,25.72222222,32.22222222,18.88888889,15.27777778,10,10.6,0,1,0,0,0,0,0,2012,1,0,0,0,0,0,0,0,15.61111111,8.6,0,24.5,Summer,1,0,0,0,26,13,2,0,1,0,0,0,0,0,0,0,0,0,0,0,275.6
07/14/12,Saturday,213,10,20,13,6,29,3,46,26.66666667,32.77777778,20.61111111,15.88888889,10,8.3,0,1,0,0,0,0,0,2012,0,0,1,0,0,0,0,1,15.27777778,10.6,0,25.72222222,Summer,1,0,0,0,27,14,2,0,1,0,0,0,0,0,0,0,0,0,0,0,224.1
07/15/12,Sunday,235,3,20,16,7,50,2,39,27.83333333,32.77777778,22.22222222,17.66666667,10,7.9,0,1,0,0,0,0,0,2012,0,0,0,1,0,0,0,1,15.88888889,8.3,0,26.66666667,Summer,1,0,0,0,29,15,2,0,1,0,2,0,0,1,0,0,0,0,0,0,229.1
07/16/12,Monday,248,8,20,11,8,46,9,41,26.16666667,32.77777778,22.22222222,20.05555556,10,9.6,0,1,0,0,0,0,0,2012,0,1,0,0,0,0,0,0,17.66666667,7.9,0,27.83333333,Summer,1,0,0,0,28,16,2,0,1,0,0,0,0,0,0,0,0,0,0,0,268.8
07/17/12,Tuesday,279,9,22,13,1,35,8,48,28.61111111,35.61111111,22.22222222,19.05555556,10,7.8,0,1,0,0,0,0,0,2012,0,0,0,0,0,1,0,0,20.05555556,9.6,0,26.16666667,Summer,1,0,0,0,30,17,2,0,1,0,0,0,0,0,0,0,0,0,0,0,234
