"country","subregion","region","smartphone_adoption","happiness","literacy","discrimination_index","homicide_rate","education","income","gini","suicide_rate","gun_deaths","internet_speed","population","gender_equality","social_progress","human_needs","well_being","opportunity","life_expectancy","terrorism_score","peace_index","satisfaction","web_index"
"1","United Arab Emirates","Western Asia","Asia",73.8,7.039,93.8,4.3,2.6,0.673,NA,"",3.2,NA,4.7,9457428,0.6436,72.79,89.63,74.16,54.59,76,1.05,1.805,246.67,44.9
"2","South Korea","Eastern Asia","Asia",73,6.267,NA,3.1,0.9,NA,29357,"31.3",28.9,0.06,25.3,51515399,NA,77.7,89.11,75.6,68.4,NA,0,1.701,193.33,92.81
"3","Saudi Arabia","Western Asia","Asia",72.8,6.48,94.6,NA,0.8,0.721,NA,"",0.4,NA,NA,31521418,0.6059,64.27,82.87,70.46,39.49,76,4,2.042,243.33,27.72
"4","Singapore","South-Eastern Asia","Asia",71.7,6.849,96.8,2.7,0.2,0.759,NA,"",7.4,0.16,12.2,5535000,0.7046,NA,NA,NA,62.83,83,0,1.49,230,75.16
"5","Norway","Northern Europe","Europe",67.5,7.522,NA,3.6,2.2,0.91,31208,"25.8",9.1,1.75,11.4,5205434,0.8374,88.36,94.8,88.46,81.82,82,2.74,1.393,246.67,97.32
"6","Australia","Australasia","Oceania",64.6,7.35,NA,3.6,1.1,0.927,42617,"30.5",10.6,1.03,6.9,23991100,0.7409,86.42,93.73,79.98,85.55,83,3.12,1.329,243.33,87.27
"7","Sweden","Northern Europe","Europe",62.9,7.378,NA,1,0.7,0.83,25196,"25.0",11.1,1.47,14.1,9838480,0.8165,88.06,94.83,86.43,82.93,82,3.08,1.36,256.67,94.97
"8","Hong Kong","Eastern Asia","Asia",62.8,5.523,NA,NA,0.9,0.767,NA,"",NA,0.03,16.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,220,NA
"9","United Kingdom","Northern Europe","Europe",62.2,6.967,NA,5,1,0.86,30064,"38.0",6.2,0.23,10.7,64800000,0.7383,84.68,92.22,79.04,82.78,81,5.61,1.685,236.67,95.67
"10","Denmark","Northern Europe","Europe",59,7.527,NA,3.4,0.8,0.873,34797,"28.1",8.8,1.28,11.2,5699220,0.8025,86.63,96.03,82.63,81.23,80,0.09,1.15,273.33,100
"11","Ireland","Northern Europe","Europe",57,7.076,NA,1.6,1.2,0.887,48073,"34.3",11,NA,13.9,4635400,0.785,84.66,93.68,76.34,83.97,81,3.66,1.354,253.33,78.28
"12","Israel","Western Asia","Asia",56.6,7.301,NA,NA,1.8,0.854,24084,"39.2",5.9,1.87,11.4,8434600,0.7005,72.6,86.96,72.99,57.85,82,6.03,2.781,223.33,75.46
"13","Canada","Northern America","Americas",56.4,7.088,NA,3.1,1.4,0.85,37469,"33.7",9.8,2.22,10.3,35851774,0.7464,86.89,94.89,79.22,86.58,82,2.3,1.287,253.33,85.82
"14","United States","Northern America","Americas",56.4,7.143,NA,4.2,3.8,0.89,45582,"41.1",12.1,10.64,11.5,322425000,0.7463,82.85,91.23,75.15,82.18,79,4.61,NA,246.67,94.52
"15","Spain","Southern Europe","Europe",55.4,6.322,98,5.8,0.8,0.794,22866,"34.7",5.1,0.62,7.8,46439864,0.7325,81.17,91.09,76.79,75.62,83,2.62,1.451,233.33,74.53
"16","Switzerland","Western Europe","Europe",54,7.587,NA,3.5,0.6,0.844,48414,"33.7",9.2,3.08,14.5,8279700,0.7798,87.97,95.66,86.5,81.75,83,1.35,1.275,273.33,84.73
"17","New Zealand","Australasia","Oceania",53.6,7.364,NA,3.5,0.9,0.917,NA,"36.2",9.6,1.45,7,4639010,0.7772,87.08,92.87,82.77,85.61,82,1.19,1.221,246.67,87.48
"18","Netherlands","Western Europe","Europe",52,7.389,NA,4.1,0.9,0.894,32120,"30.9",8.2,0.46,14,16976600,0.773,86.5,94.8,83.81,80.88,81,0.43,1.432,250,91.84
"19","Taiwan","Eastern Asia","Asia",50.8,6.221,NA,NA,3,NA,NA,"",NA,0.87,9.5,23476640,NA,NA,NA,NA,NA,NA,0.15,1.657,220,NA
"20","Austria","Western Europe","Europe",48,7.221,NA,4.3,0.9,0.794,28051,"26.0",11.5,2.63,10.4,8623073,0.7266,84.45,95.04,82.53,75.77,81,2.09,1.198,260,86
"21","China","Eastern Asia","Asia",46.9,NA,96.3,NA,1,0.61,NA,"37.0",7.8,NA,3.8,1373710000,0.683,59.07,73.74,65.4,38.08,75,6.29,NA,210,45.97
"22","Slovakia","Eastern Europe","Europe",45.9,5.969,99.6,5,1.4,0.802,NA,"26.0",10.1,1.75,8.6,5421349,NA,78.45,92.19,78.8,64.35,76,NA,1.478,180,NA
